        Frequency / MHz                S2,1/abs,dB
----------------------------------------------------------------------
                    2110                      -41.243954
                 2110.25                      -41.276068
                  2110.5                      -41.289323
                 2110.75                      -41.283675
                    2111                      -41.259334
                 2111.25                      -41.216752
                  2111.5                       -41.15661
                 2111.75                      -41.079784
                    2112                      -40.987313
                 2112.25                      -40.880363
                  2112.5                      -40.760184
                 2112.75                      -40.628078
                    2113                      -40.485361
                 2113.25                      -40.333334
                  2113.5                      -40.173263
                 2113.75                       -40.00635
                    2114                       -39.83373
                 2114.25                      -39.656454
                  2114.5                      -39.475487
                 2114.75                      -39.291706
                    2115                      -39.105902
                 2115.25                      -38.918778
                  2115.5                      -38.730959
                 2115.75                      -38.542995
                    2116                      -38.355366
                 2116.25                      -38.168488
                  2116.5                       -37.98272
                 2116.75                      -37.798369
                    2117                      -37.615697
                 2117.25                      -37.434923
                  2117.5                      -37.256231
                 2117.75                      -37.079773
                    2118                      -36.905672
                 2118.25                      -36.734027
                  2118.5                      -36.564918
                 2118.75                      -36.398401
                    2119                      -36.234524
                 2119.25                      -36.073312
                  2119.5                      -35.914786
                 2119.75                      -35.758953
                    2120                      -35.605812
                 2120.25                      -35.455353
                  2120.5                      -35.307564
                 2120.75                      -35.162425
                    2121                      -35.019908
                 2121.25                       -34.87999
                  2121.5                      -34.742638
                 2121.75                       -34.60782
                    2122                      -34.475499
                 2122.25                       -34.34564
                  2122.5                      -34.218206
                 2122.75                      -34.093155
                    2123                      -33.970451
                 2123.25                      -33.850053
                  2123.5                      -33.731922
                 2123.75                      -33.616018
                    2124                        -33.5023
                 2124.25                      -33.390731
                  2124.5                       -33.28127
                 2124.75                      -33.173878
                    2125                      -33.068519
                 2125.25                      -32.965154
                  2125.5                      -32.863745
                 2125.75                      -32.764258
                    2126                      -32.666656
                 2126.25                      -32.570904
                  2126.5                      -32.476967
                 2126.75                      -32.384813
                    2127                      -32.294407
                 2127.25                      -32.205718
                  2127.5                      -32.118714
                 2127.75                      -32.033363
                    2128                      -31.949637
                 2128.25                      -31.867504
                  2128.5                      -31.786937
                 2128.75                      -31.707907
                    2129                      -31.630386
                 2129.25                      -31.554346
                  2129.5                      -31.479764
                 2129.75                      -31.406612
                    2130                      -31.334864
                 2130.25                      -31.264497
                  2130.5                      -31.195486
                 2130.75                      -31.127807
                    2131                      -31.061438
                 2131.25                      -30.996357
                  2131.5                       -30.93254
                 2131.75                      -30.869966
                    2132                      -30.808614
                 2132.25                      -30.748465
                  2132.5                      -30.689496
                 2132.75                      -30.631688
                    2133                      -30.575022
                 2133.25                      -30.519479
                  2133.5                      -30.465041
                 2133.75                      -30.411687
                    2134                      -30.359401
                 2134.25                      -30.308166
                  2134.5                      -30.257963
                 2134.75                      -30.208775
                    2135                      -30.160586
                 2135.25                      -30.113378
                  2135.5                      -30.067137
                 2135.75                      -30.021845
                    2136                      -29.977488
                 2136.25                      -29.934048
                  2136.5                      -29.891512
                 2136.75                      -29.849864
                    2137                      -29.809089
                 2137.25                      -29.769172
                  2137.5                        -29.7301
                 2137.75                      -29.691857
                    2138                      -29.654428
                 2138.25                        -29.6178
                  2138.5                       -29.58196
                 2138.75                      -29.546893
                    2139                      -29.512587
                 2139.25                      -29.479025
                  2139.5                      -29.446196
                 2139.75                      -29.414087
                    2140                      -29.382683
                 2140.25                      -29.351972
                  2140.5                      -29.321942
                 2140.75                      -29.292578
                    2141                      -29.263866
                 2141.25                      -29.235795
                  2141.5                      -29.208353
                 2141.75                      -29.181524
                    2142                      -29.155299
                 2142.25                      -29.129661
                  2142.5                      -29.104601
                 2142.75                      -29.080103
                    2143                      -29.056158
                 2143.25                       -29.03275
                  2143.5                      -29.009867
                 2143.75                      -28.987497
                    2144                      -28.965626
                 2144.25                      -28.944243
                  2144.5                      -28.923334
                 2144.75                      -28.902885
                    2145                      -28.882886
                 2145.25                      -28.863321
                  2145.5                      -28.844179
                 2145.75                      -28.825445
                    2146                      -28.807109
                 2146.25                      -28.789155
                  2146.5                      -28.771571
