        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                    2110                     -0.84777817
                 2110.25                     -0.85220052
                  2110.5                     -0.85677686
                 2110.75                     -0.86150546
                    2111                      -0.8663846
                 2111.25                     -0.87141212
                  2111.5                     -0.87658635
                 2111.75                     -0.88190629
                    2112                     -0.88737024
                 2112.25                     -0.89297606
                  2112.5                     -0.89872103
                 2112.75                     -0.90460549
                    2113                     -0.91062581
                 2113.25                     -0.91678055
                  2113.5                     -0.92306786
                 2113.75                     -0.92948645
                    2114                     -0.93603365
                 2114.25                      -0.9427075
                  2114.5                     -0.94950704
                 2114.75                     -0.95642854
                    2115                     -0.96347092
                 2115.25                     -0.97063252
                  2115.5                     -0.97791059
                 2115.75                     -0.98530329
                    2116                     -0.99280833
                 2116.25                      -1.0004249
                  2116.5                      -1.0081486
                 2116.75                      -1.0159788
                    2117                      -1.0239137
                 2117.25                      -1.0319503
                  2117.5                      -1.0400864
                 2117.75                      -1.0483204
                    2118                      -1.0566498
                 2118.25                      -1.0650728
                  2118.5                      -1.0735877
                 2118.75                       -1.082191
                    2119                      -1.0908821
                 2119.25                      -1.0996577
                  2119.5                      -1.1085154
                 2119.75                      -1.1174539
                    2120                      -1.1264715
                 2120.25                       -1.135565
                  2120.5                      -1.1447326
                 2120.75                      -1.1539728
                    2121                      -1.1632827
                 2121.25                      -1.1726599
                  2121.5                      -1.1821037
                 2121.75                      -1.1916115
                    2122                      -1.2011806
                 2122.25                        -1.21081
                  2122.5                      -1.2204968
                 2122.75                      -1.2302394
                    2123                      -1.2400365
                 2123.25                      -1.2498848
                  2123.5                      -1.2597834
                 2123.75                      -1.2697293
                    2124                       -1.279722
                 2124.25                       -1.289759
                  2124.5                      -1.2998384
                 2124.75                      -1.3099588
                    2125                       -1.320118
                 2125.25                       -1.330314
                  2125.5                      -1.3405461
                 2125.75                      -1.3508113
                    2126                      -1.3611091
                 2126.25                      -1.3714379
                  2126.5                      -1.3817944
                 2126.75                      -1.3921786
                    2127                      -1.4025904
                 2127.25                      -1.4130248
                  2127.5                      -1.4234833
                 2127.75                      -1.4339622
                    2128                      -1.4444622
                 2128.25                      -1.4549808
                  2128.5                      -1.4655171
                 2128.75                      -1.4760696
                    2129                      -1.4866377
                 2129.25                        -1.49722
                  2129.5                      -1.5078152
                 2129.75                      -1.5184207
                    2130                       -1.529039
                 2130.25                      -1.5396664
                  2130.5                      -1.5503023
                 2130.75                      -1.5609468
                    2131                       -1.571598
                 2131.25                      -1.5822562
                  2131.5                      -1.5929199
                 2131.75                      -1.6035881
                    2132                      -1.6142617
                 2132.25                      -1.6249377
                  2132.5                      -1.6356173
                 2132.75                         -1.6463
                    2133                      -1.6569845
                 2133.25                      -1.6676718
                  2133.5                       -1.678359
                 2133.75                      -1.6890486
                    2134                      -1.6997394
                 2134.25                      -1.7104304
                  2134.5                       -1.721122
                 2134.75                      -1.7318148
                    2135                      -1.7425084
                 2135.25                      -1.7532015
                  2135.5                      -1.7638957
                 2135.75                      -1.7745903
                    2136                      -1.7852867
                 2136.25                      -1.7959841
                  2136.5                      -1.8066825
                 2136.75                      -1.8173831
                    2137                      -1.8280858
                 2137.25                       -1.838791
                  2137.5                      -1.8494993
                 2137.75                      -1.8602116
                    2138                      -1.8709279
                 2138.25                      -1.8816498
                  2138.5                      -1.8923765
                 2138.75                        -1.90311
                    2139                      -1.9138506
                 2139.25                      -1.9245992
                  2139.5                       -1.935357
                 2139.75                      -1.9461251
                    2140                      -1.9569038
                 2140.25                      -1.9676932
                  2140.5                       -1.978497
                 2140.75                       -1.989315
                    2141                       -2.000148
                 2141.25                       -2.010998
                  2141.5                      -2.0218655
                 2141.75                      -2.0327527
                    2142                      -2.0436604
                 2142.25                      -2.0545899
                  2142.5                      -2.0655432
                 2142.75                      -2.0765218
                    2143                      -2.0875272
                 2143.25                      -2.0985597
                  2143.5                      -2.1096226
                 2143.75                      -2.1207171
                    2144                      -2.1318457
                 2144.25                      -2.1430076
                  2144.5                      -2.1542074
                 2144.75                      -2.1654458
                    2145                      -2.1767247
                 2145.25                      -2.1880458
                  2145.5                      -2.1994116
                 2145.75                      -2.2108236
                    2146                      -2.2222841
                 2146.25                      -2.2337959
                  2146.5                      -2.2453596
                 2146.75                      -2.2569778
                    2147                      -2.2686524
                 2147.25                      -2.2803872
                  2147.5                      -2.2921829
                 2147.75                      -2.3040423
