        Frequency / MHz                S2,2 (28)/abs,dB
----------------------------------------------------------------------
                    1900                     -0.45507814
                 1900.23                     -0.45882523
               1900.4601                     -0.46255721
               1900.6901                     -0.46627513
                 1900.92                     -0.46997746
               1901.1499                     -0.47366306
                 1901.38                     -0.47732996
                 1901.61                     -0.48097906
                 1901.84                     -0.48460888
               1902.0701                     -0.48821801
                  1902.3                     -0.49180578
                 1902.53                     -0.49537226
               1902.7599                     -0.49891622
                 1902.99                     -0.50243621
                 1903.22                     -0.50593205
                 1903.45                     -0.50940311
               1903.6801                      -0.5128495
                 1903.91                     -0.51626893
                 1904.14                     -0.51966185
                 1904.37                     -0.52302823
               1904.6001                     -0.52636631
                 1904.83                     -0.52967701
               1905.0599                     -0.53295916
                 1905.29                      -0.5362107
                 1905.52                     -0.53943414
                 1905.75                     -0.54262724
                 1905.98                      -0.5457899
               1906.2101                     -0.54892256
               1906.4399                     -0.55202376
               1906.6699                     -0.55509444
               1906.8999                     -0.55813352
                 1907.13                     -0.56114148
                 1907.36                     -0.56411706
                 1907.59                     -0.56706123
               1907.8201                     -0.56997318
                 1908.05                     -0.57285283
                 1908.28                     -0.57570073
               1908.5099                     -0.57851609
                 1908.74                     -0.58129909
                 1908.97                      -0.5840495
                  1909.2                     -0.58676808
               1909.4301                     -0.58945444
                 1909.66                     -0.59210835
                 1909.89                     -0.59473027
               1910.1199                     -0.59732074
                 1910.35                     -0.59987846
                 1910.58                     -0.60240516
               1910.8099                     -0.60490046
                 1911.04                     -0.60736404
                 1911.27                     -0.60979658
                  1911.5                     -0.61219931
               1911.7301                     -0.61457008
               1911.9601                     -0.61691146
               1912.1899                     -0.61922292
               1912.4199                     -0.62150527
                 1912.65                     -0.62375792
                 1912.88                     -0.62598194
                 1913.11                     -0.62817709
               1913.3401                     -0.63034339
               1913.5701                     -0.63248328
               1913.7999                     -0.63459557
               1914.0299                     -0.63668147
                 1914.26                     -0.63874045
                 1914.49                     -0.64077325
                 1914.72                     -0.64278185
                 1914.95                     -0.64476503
               1915.1801                     -0.64672405
                 1915.41                     -0.64865969
                 1915.64                     -0.65057131
                 1915.87                     -0.65246082
                  1916.1                     -0.65432822
                 1916.33                     -0.65617361
               1916.5599                     -0.65799926
                 1916.79                     -0.65980371
                 1917.02                      -0.6615895
                 1917.25                     -0.66335585
                 1917.48                     -0.66510372
                 1917.71                     -0.66683388
               1917.9399                     -0.66854676
               1918.1699                     -0.67024386
                  1918.4                     -0.67192428
                 1918.63                     -0.67359122
                 1918.86                     -0.67524288
               1919.0901                     -0.67688097
               1919.3201                     -0.67850614
               1919.5499                     -0.68011916
               1919.7799                     -0.68172054
                 1920.01                     -0.68331116
                 1920.24                     -0.68489177
                 1920.47                     -0.68646309
               1920.7001                     -0.68802496
               1920.9301                     -0.68957944
               1921.1599                     -0.69112741
               1921.3899                     -0.69266821
                 1921.62                     -0.69420308
                 1921.85                     -0.69573354
                 1922.08                      -0.6972597
               1922.3101                     -0.69878167
                 1922.54                     -0.70030138
                 1922.77                     -0.70181898
                    1923                      -0.7033362
                 1923.23                     -0.70485108
                 1923.46                     -0.70636731
               1923.6899                     -0.70788392
                 1923.92                      -0.7094028
                 1924.15                     -0.71092312
                 1924.38                     -0.71244692
                 1924.61                     -0.71397447
                 1924.84                     -0.71550674
               1925.0699                     -0.71704359
               1925.2999                     -0.71858699
                 1925.53                     -0.72013704
                 1925.76                      -0.7216948
                 1925.99                      -0.7232603
                 1926.22                     -0.72483476
               1926.4501                     -0.72641807
               1926.6801                     -0.72801206
               1926.9099                     -0.72961693
                 1927.14                     -0.73123329
                 1927.37                     -0.73286115
                  1927.6                     -0.73450289
                 1927.83                     -0.73615709
               1928.0601                     -0.73782601
                 1928.29                     -0.73950953
               1928.5199                     -0.74120841
                 1928.75                     -0.74292373
                 1928.98                     -0.74465578
                 1929.21                     -0.74640456
               1929.4399                     -0.74817183
                 1929.67                     -0.74995721
                  1929.9                     -0.75176194
                 1930.13                     -0.75358601
               1930.3601                     -0.75543124
