        Frequency / MHz                S2,2 (17)/abs,dB
----------------------------------------------------------------------
                    1900                      -0.2654707
                 1900.23                     -0.26574476
               1900.4601                     -0.26603633
               1900.6901                     -0.26634542
                 1900.92                     -0.26667202
               1901.1499                     -0.26701728
                 1901.38                     -0.26737848
                 1901.61                     -0.26775866
                 1901.84                     -0.26815518
               1902.0701                     -0.26856917
                  1902.3                     -0.26900021
                 1902.53                     -0.26944834
               1902.7599                      -0.2699135
                 1902.99                     -0.27039574
                 1903.22                     -0.27089426
                 1903.45                     -0.27140942
               1903.6801                     -0.27194123
                 1903.91                     -0.27248933
                 1904.14                      -0.2730533
                 1904.37                     -0.27363356
               1904.6001                     -0.27422971
                 1904.83                     -0.27484096
               1905.0599                     -0.27546925
                 1905.29                     -0.27611153
                 1905.52                     -0.27676969
                 1905.75                     -0.27744259
                 1905.98                       -0.278131
               1906.2101                     -0.27883378
               1906.4399                     -0.27955132
               1906.6699                     -0.28028285
               1906.8999                     -0.28102989
                 1907.13                     -0.28179018
                 1907.36                     -0.28256408
                 1907.59                       -0.283352
               1907.8201                     -0.28415394
                 1908.05                     -0.28496837
                 1908.28                     -0.28579682
               1908.5099                     -0.28663778
                 1908.74                     -0.28749163
                 1908.97                     -0.28835763
                  1909.2                     -0.28923653
               1909.4301                     -0.29012758
                 1909.66                     -0.29103079
                 1909.89                     -0.29194541
               1910.1199                     -0.29287219
                 1910.35                     -0.29381002
                 1910.58                     -0.29475928
               1910.8099                     -0.29571921
                 1911.04                      -0.2966902
                 1911.27                     -0.29767226
                  1911.5                     -0.29866426
               1911.7301                     -0.29966621
               1911.9601                     -0.30067887
               1912.1899                     -0.30170071
               1912.4199                     -0.30273253
                 1912.65                     -0.30377358
                 1912.88                     -0.30482421
                 1913.11                     -0.30588371
               1913.3401                     -0.30695205
               1913.5701                     -0.30802927
               1913.7999                     -0.30911424
               1914.0299                     -0.31020844
                 1914.26                     -0.31131003
                 1914.49                     -0.31241975
                 1914.72                     -0.31353685
                 1914.95                     -0.31466134
               1915.1801                     -0.31579324
                 1915.41                     -0.31693216
                 1915.64                     -0.31807775
                 1915.87                     -0.31923113
                  1916.1                     -0.32039038
                 1916.33                     -0.32155558
               1916.5599                     -0.32272747
                 1916.79                     -0.32390448
                 1917.02                     -0.32508786
                 1917.25                     -0.32627714
                 1917.48                     -0.32747163
                 1917.71                     -0.32867092
               1917.9399                     -0.32987498
               1918.1699                     -0.33108503
                  1918.4                     -0.33229949
                 1918.63                     -0.33351814
                 1918.86                     -0.33474187
               1919.0901                     -0.33596932
               1919.3201                     -0.33720055
               1919.5499                     -0.33843608
               1919.7799                     -0.33967547
                 1920.01                     -0.34091856
                 1920.24                     -0.34216454
                 1920.47                     -0.34341429
               1920.7001                     -0.34466658
               1920.9301                     -0.34592256
               1921.1599                     -0.34718078
               1921.3899                     -0.34844237
                 1921.62                     -0.34970571
                 1921.85                     -0.35097212
                 1922.08                     -0.35224066
               1922.3101                     -0.35351141
                 1922.54                     -0.35478431
                 1922.77                     -0.35605917
                    1923                      -0.3573347
                 1923.23                     -0.35861315
                 1923.46                     -0.35989305
               1923.6899                      -0.3611743
                 1923.92                      -0.3624563
                 1924.15                     -0.36373971
                 1924.38                     -0.36502457
                 1924.61                     -0.36631048
                 1924.84                     -0.36759699
               1925.0699                     -0.36888478
               1925.2999                     -0.37017264
                 1925.53                     -0.37146123
                 1925.76                     -0.37275051
                 1925.99                     -0.37404082
                 1926.22                     -0.37533029
               1926.4501                     -0.37662061
               1926.6801                      -0.3779113
               1926.9099                     -0.37920144
                 1927.14                     -0.38049296
                 1927.37                     -0.38178353
                  1927.6                     -0.38307403
                 1927.83                     -0.38436412
               1928.0601                     -0.38565428
                 1928.29                     -0.38694435
               1928.5199                     -0.38823342
                 1928.75                     -0.38952276
                 1928.98                     -0.39081139
                 1929.21                     -0.39210023
               1929.4399                     -0.39338851
                 1929.67                     -0.39467553
                  1929.9                     -0.39596139
                 1930.13                     -0.39724711
               1930.3601                     -0.39853348
                 1930.59                     -0.39981792
               1930.8199                     -0.40110175
               1931.0499                     -0.40238454
                 1931.28                     -0.40366663
                 1931.51                     -0.40494844
                 1931.74                     -0.40622957
               1931.9701                     -0.40750934
                  1932.2                     -0.40878939
               1932.4299                       -0.410067
               1932.6599                     -0.41134488
                 1932.89                     -0.41262082
                 1933.12                      -0.4138968
                 1933.35                     -0.41517187
               1933.5801                     -0.41644584
               1933.8101                     -0.41771918
                 1934.04                     -0.41899214
               1934.2699                     -0.42026342
                  1934.5                     -0.42153483
                 1934.73                       -0.422805
                 1934.96                       -0.424074
               1935.1901                     -0.42534293
                 1935.42                     -0.42661075
                 1935.65                       -0.427878
               1935.8799                     -0.42914465
                 1936.11                     -0.43041095
                 1936.34                     -0.43167703
               1936.5699                       -0.432942
                  1936.8                     -0.43420594
                 1937.03                     -0.43547059
                 1937.26                     -0.43673409
                 1937.49                     -0.43799674
               1937.7201                     -0.43926024
                 1937.95                     -0.44052262
               1938.1799                     -0.44178539
                 1938.41                     -0.44304846
                 1938.64                     -0.44430997
                 1938.87                     -0.44557246
                  1939.1                     -0.44683481
               1939.3301                     -0.44809726
               1939.5599                     -0.44935975
               1939.7899                     -0.45062207
                 1940.02                     -0.45188533
                 1940.25                     -0.45314867
                 1940.48                     -0.45441216
                 1940.71                     -0.45567721
               1940.9401                     -0.45694124
                 1941.17                     -0.45820681
                  1941.4                     -0.45947291
                 1941.63                     -0.46074013
                 1941.86                     -0.46200754
                 1942.09                     -0.46327627
               1942.3199                     -0.46454589
                 1942.55                     -0.46581742
                 1942.78                     -0.46708975
                 1943.01                     -0.46836305
                 1943.24                      -0.4696381
                 1943.47                     -0.47091476
                  1943.7                     -0.47219253
               1943.9299                     -0.47347178
                 1944.16                     -0.47475386
                 1944.39                     -0.47603723
                 1944.62                      -0.4773227
               1944.8501                     -0.47860957
               1945.0801                     -0.47989923
               1945.3099                     -0.48118976
               1945.5399                     -0.48248454
                 1945.77                     -0.48378123
                    1946                     -0.48508025
                 1946.23                      -0.4863815
               1946.4601                     -0.48768623
               1946.6901                     -0.48899373
               1946.9199                     -0.49030386
               1947.1499                     -0.49161699
                 1947.38                     -0.49293349
                 1947.61                     -0.49425377
                 1947.84                     -0.49557657
               1948.0701                     -0.49690378
                  1948.3                     -0.49823395
                 1948.53                     -0.49956814
                 1948.76                     -0.50090649
                 1948.99                     -0.50224801
                 1949.22                     -0.50359414
                 1949.45                     -0.50494423
               1949.6801                     -0.50629837
                 1949.91                     -0.50765731
                 1950.14                     -0.50902082
                 1950.37                     -0.51038922
                  1950.6                     -0.51176161
                 1950.83                     -0.51313927
               1951.0599                     -0.51452185
                 1951.29                      -0.5159093
                 1951.52                     -0.51730301
                 1951.75                     -0.51870055
                 1951.98                     -0.52010429
               1952.2101                     -0.52151308
               1952.4401                     -0.52292878
               1952.6699                     -0.52434931
               1952.8999                     -0.52577594
                 1953.13                      -0.5272077
                 1953.36                     -0.52864696
                 1953.59                     -0.53009174
               1953.8201                     -0.53154298
                 1954.05                     -0.53300041
               1954.2799                     -0.53446532
               1954.5099                     -0.53593547
                 1954.74                     -0.53741294
                 1954.97                     -0.53889821
                  1955.2                     -0.54038985
               1955.4301                     -0.54188883
                 1955.66                      -0.5433945
                 1955.89                     -0.54490846
               1956.1201                     -0.54642935
                 1956.35                     -0.54795765
                 1956.58                      -0.5494944
               1956.8099                      -0.5510386
                 1957.04                     -0.55259078
                 1957.27                     -0.55415151
                  1957.5                     -0.55571963
               1957.7301                     -0.55729569
                 1957.96                     -0.55888071
               1958.1899                     -0.56047421
