        Frequency / MHz                S1,1 (28)/abs,dB
----------------------------------------------------------------------
                    1900                     -0.45507814
                 1900.23                     -0.45882523
               1900.4601                     -0.46255737
               1900.6901                     -0.46627513
                 1900.92                     -0.46997746
               1901.1499                     -0.47366265
                 1901.38                     -0.47732996
                 1901.61                     -0.48097906
                 1901.84                     -0.48460888
               1902.0701                     -0.48821801
                  1902.3                     -0.49180578
                 1902.53                     -0.49537226
               1902.7599                     -0.49891581
                 1902.99                     -0.50243561
                 1903.22                     -0.50593128
                 1903.45                     -0.50940311
               1903.6801                     -0.51284873
                 1903.91                     -0.51626893
                 1904.14                     -0.51966185
                 1904.37                     -0.52302823
               1904.6001                      -0.5263665
                 1904.83                     -0.52967701
               1905.0599                     -0.53295816
                 1905.29                     -0.53621028
                 1905.52                     -0.53943326
                 1905.75                     -0.54262646
                 1905.98                      -0.5457899
               1906.2101                     -0.54892256
               1906.4399                     -0.55202376
               1906.6699                     -0.55509444
               1906.8999                     -0.55813317
                 1907.13                     -0.56114106
                 1907.36                     -0.56411664
                 1907.59                     -0.56706088
               1907.8201                     -0.56997318
                 1908.05                     -0.57285283
                 1908.28                     -0.57569995
               1908.5099                     -0.57851609
                 1908.74                     -0.58129867
                 1908.97                     -0.58404908
                  1909.2                      -0.5867673
               1909.4301                     -0.58945402
                 1909.66                     -0.59210792
                 1909.89                     -0.59472991
               1910.1199                     -0.59731996
                 1910.35                     -0.59987803
                 1910.58                     -0.60240438
               1910.8099                     -0.60490003
                 1911.04                     -0.60736361
                 1911.27                     -0.60979636
                  1911.5                     -0.61219853
               1911.7301                     -0.61456972
               1911.9601                     -0.61691067
               1912.1899                     -0.61922256
               1912.4199                     -0.62150449
                 1912.65                     -0.62375714
                 1912.88                     -0.62598116
                 1913.11                     -0.62817631
               1913.3401                     -0.63034316
               1913.5701                     -0.63248293
               1913.7999                     -0.63459479
               1914.0299                     -0.63668069
                 1914.26                     -0.63873987
                 1914.49                     -0.64077325
                 1914.72                     -0.64278149
                 1914.95                     -0.64476425
               1915.1801                     -0.64672382
                 1915.41                     -0.64865945
                 1915.64                     -0.65057131
                 1915.87                     -0.65246101
                  1916.1                     -0.65432743
                 1916.33                     -0.65617361
               1916.5599                     -0.65799891
                 1916.79                     -0.65980371
                 1917.02                     -0.66158871
                 1917.25                     -0.66335585
                 1917.48                     -0.66510328
                 1917.71                     -0.66683388
               1917.9399                     -0.66854676
               1918.1699                     -0.67024386
                  1918.4                     -0.67192428
                 1918.63                     -0.67359071
                 1918.86                     -0.67524281
               1919.0901                      -0.6768809
               1919.3201                     -0.67850614
               1919.5499                     -0.68011881
               1919.7799                     -0.68171975
                 1920.01                     -0.68331073
                 1920.24                     -0.68489177
                 1920.47                     -0.68646204
               1920.7001                     -0.68802497
               1920.9301                     -0.68957935
               1921.1599                     -0.69112697
               1921.3899                     -0.69266855
                 1921.62                     -0.69420308
                 1921.85                     -0.69573354
                 1922.08                     -0.69725926
               1922.3101                     -0.69878167
                 1922.54                     -0.70030138
                 1922.77                     -0.70181852
                    1923                     -0.70333541
                 1923.23                     -0.70485108
                 1923.46                     -0.70636736
               1923.6899                     -0.70788392
                 1923.92                      -0.7094028
                 1924.15                       -0.710923
                 1924.38                     -0.71244644
                 1924.61                     -0.71397444
                 1924.84                     -0.71550638
               1925.0699                     -0.71704438
               1925.2999                     -0.71858729
                 1925.53                     -0.72013704
                 1925.76                      -0.7216948
                 1925.99                      -0.7232603
                 1926.22                     -0.72483476
               1926.4501                     -0.72641886
               1926.6801                       -0.728012
               1926.9099                     -0.72961693
                 1927.14                     -0.73123312
                 1927.37                     -0.73286143
                  1927.6                     -0.73450252
                 1927.83                     -0.73615709
               1928.0601                     -0.73782601
                 1928.29                     -0.73950953
               1928.5199                     -0.74120841
                 1928.75                     -0.74292452
                 1928.98                     -0.74465578
                 1929.21                     -0.74640535
               1929.4399                     -0.74817262
                 1929.67                       -0.749958
                  1929.9                     -0.75176273
                 1930.13                      -0.7535866
               1930.3601                     -0.75543145
