        Frequency / MHz                S1,2/abs,dB
----------------------------------------------------------------------
                    1900                      -31.782647
                 1900.23                      -31.838608
               1900.4601                      -31.895271
               1900.6901                      -31.952622
                 1900.92                      -32.010647
               1901.1499                       -32.06933
                 1901.38                      -32.128657
                 1901.61                      -32.188609
                 1901.84                      -32.249166
               1902.0701                      -32.310314
                  1902.3                      -32.372028
                 1902.53                      -32.434287
               1902.7599                      -32.497071
                 1902.99                      -32.560354
                 1903.22                      -32.624111
                 1903.45                      -32.688313
               1903.6801                      -32.752935
                 1903.91                      -32.817947
                 1904.14                      -32.883314
                 1904.37                      -32.949007
               1904.6001                      -33.014988
                 1904.83                      -33.081222
               1905.0599                       -33.14767
                 1905.29                      -33.214291
                 1905.52                      -33.281042
                 1905.75                      -33.347881
                 1905.98                      -33.414759
               1906.2101                      -33.481628
               1906.4399                      -33.548437
               1906.6699                      -33.615132
               1906.8999                      -33.681658
                 1907.13                      -33.747959
                 1907.36                      -33.813971
                 1907.59                      -33.879636
               1907.8201                      -33.944886
                 1908.05                      -34.009654
                 1908.28                      -34.073872
               1908.5099                      -34.137468
                 1908.74                      -34.200368
                 1908.97                      -34.262496
                  1909.2                      -34.323775
               1909.4301                      -34.384124
                 1909.66                      -34.443462
                 1909.89                      -34.501704
               1910.1199                      -34.558769
                 1910.35                      -34.614567
                 1910.58                      -34.669014
               1910.8099                      -34.722022
                 1911.04                      -34.773502
                 1911.27                      -34.823365
                  1911.5                      -34.871523
               1911.7301                       -34.91789
               1911.9601                      -34.962377
               1912.1899                      -35.004898
               1912.4199                       -35.04537
                 1912.65                      -35.083709
                 1912.88                      -35.119835
                 1913.11                      -35.153673
               1913.3401                      -35.185147
               1913.5701                      -35.214187
               1913.7999                      -35.240727
               1914.0299                      -35.264704
                 1914.26                      -35.286062
                 1914.49                      -35.304748
                 1914.72                      -35.320717
                 1914.95                      -35.333926
               1915.1801                      -35.344343
                 1915.41                      -35.351937
                 1915.64                      -35.356687
                 1915.87                      -35.358578
                  1916.1                      -35.357603
                 1916.33                      -35.353759
               1916.5599                      -35.347049
                 1916.79                       -35.33749
                 1917.02                      -35.325095
                 1917.25                      -35.309891
                 1917.48                       -35.29191
                 1917.71                      -35.271189
               1917.9399                       -35.24777
               1918.1699                      -35.221703
                  1918.4                      -35.193043
                 1918.63                      -35.161847
                 1918.86                      -35.128178
               1919.0901                      -35.092104
               1919.3201                      -35.053696
               1919.5499                      -35.013027
               1919.7799                      -34.970177
                 1920.01                      -34.925221
                 1920.24                      -34.878243
                 1920.47                      -34.829325
               1920.7001                      -34.778552
               1920.9301                       -34.72601
               1921.1599                      -34.671782
               1921.3899                      -34.615955
                 1921.62                      -34.558613
                 1921.85                      -34.499843
                 1922.08                      -34.439727
               1922.3101                      -34.378349
                 1922.54                      -34.315791
                 1922.77                      -34.252132
                    1923                      -34.187453
                 1923.23                       -34.12183
                 1923.46                      -34.055338
               1923.6899                      -33.988051
                 1923.92                      -33.920039
                 1924.15                      -33.851371
                 1924.38                      -33.782113
                 1924.61                      -33.712329
                 1924.84                      -33.642083
               1925.0699                      -33.571433
               1925.2999                      -33.500435
                 1925.53                      -33.429146
                 1925.76                      -33.357619
                 1925.99                      -33.285901
                 1926.22                      -33.214043
               1926.4501                      -33.142089
               1926.6801                      -33.070083
               1926.9099                      -32.998067
                 1927.14                      -32.926079
                 1927.37                      -32.854159
                  1927.6                      -32.782339
                 1927.83                      -32.710654
               1928.0601                      -32.639137
                 1928.29                      -32.567816
