        Frequency / MHz                S2,1 (28)/abs,dB
----------------------------------------------------------------------
                    1900                      -32.547365
                 1900.23                       -32.63051
               1900.4601                      -32.714285
               1900.6901                      -32.798662
                 1900.92                      -32.883614
               1901.1499                      -32.969107
                 1901.38                      -33.055109
                 1901.61                      -33.141584
                 1901.84                      -33.228492
               1902.0701                      -33.315792
                  1902.3                      -33.403439
                 1902.53                      -33.491385
               1902.7599                      -33.579581
                 1902.99                      -33.667971
                 1903.22                      -33.756498
                 1903.45                      -33.845101
               1903.6801                      -33.933716
                 1903.91                      -34.022272
                 1904.14                      -34.110697
                 1904.37                      -34.198915
               1904.6001                      -34.286845
                 1904.83                        -34.3744
               1905.0599                      -34.461492
                 1905.29                      -34.548024
                 1905.52                        -34.6339
                 1905.75                      -34.719016
                 1905.98                      -34.803263
               1906.2101                      -34.886532
               1906.4399                      -34.968705
               1906.6699                      -35.049662
               1906.8999                       -35.12928
                 1907.13                      -35.207429
                 1907.36                      -35.283981
                 1907.59                      -35.358801
               1907.8201                      -35.431752
                 1908.05                      -35.502696
                 1908.28                      -35.571492
               1908.5099                      -35.638001
                 1908.74                      -35.702079
                 1908.97                      -35.763589
                  1909.2                      -35.822388
               1909.4301                      -35.878341
                 1909.66                      -35.931312
                 1909.89                      -35.981169
               1910.1199                       -36.02779
                 1910.35                      -36.071052
                 1910.58                      -36.110841
               1910.8099                       -36.14705
                 1911.04                      -36.179583
                 1911.27                       -36.20835
                  1911.5                      -36.233273
               1911.7301                      -36.254282
               1911.9601                      -36.271324
               1912.1899                      -36.284349
               1912.4199                      -36.293328
                 1912.65                       -36.29824
                 1912.88                      -36.299079
                 1913.11                      -36.295848
               1913.3401                      -36.288567
               1913.5701                      -36.277267
               1913.7999                      -36.261992
               1914.0299                      -36.242795
                 1914.26                      -36.219743
                 1914.49                      -36.192914
                 1914.72                      -36.162395
                 1914.95                      -36.128281
               1915.1801                      -36.090678
                 1915.41                      -36.049698
                 1915.64                      -36.005456
                 1915.87                      -35.958081
                  1916.1                        -35.9077
                 1916.33                      -35.854445
               1916.5599                      -35.798451
                 1916.79                      -35.739857
                 1917.02                      -35.678799
                 1917.25                      -35.615419
                 1917.48                      -35.549854
                 1917.71                      -35.482243
               1917.9399                      -35.412721
               1918.1699                      -35.341424
                  1918.4                      -35.268482
                 1918.63                      -35.194024
                 1918.86                      -35.118176
               1919.0901                      -35.041058
               1919.3201                      -34.962791
               1919.5499                      -34.883485
               1919.7799                      -34.803251
                 1920.01                      -34.722196
                 1920.24                      -34.640418
                 1920.47                      -34.558014
               1920.7001                      -34.475076
               1920.9301                      -34.391693
               1921.1599                      -34.307945
               1921.3899                      -34.223913
                 1921.62                      -34.139672
                 1921.85                       -34.05529
                 1922.08                      -33.970834
               1922.3101                      -33.886369
                 1922.54                      -33.801951
                 1922.77                      -33.717636
                    1923                      -33.633476
                 1923.23                      -33.549519
                 1923.46                       -33.46581
               1923.6899                      -33.382391
                 1923.92                      -33.299302
                 1924.15                      -33.216578
                 1924.38                      -33.134253
                 1924.61                       -33.05236
                 1924.84                      -32.970925
               1925.0699                      -32.889978
               1925.2999                       -32.80954
                 1925.53                      -32.729636
                 1925.76                      -32.650286
                 1925.99                      -32.571508
                 1926.22                      -32.493321
               1926.4501                      -32.415738
               1926.6801                      -32.338775
               1926.9099                      -32.262443
                 1927.14                      -32.186756
                 1927.37                      -32.111723
                  1927.6                      -32.037351
                 1927.83                       -31.96365
               1928.0601                      -31.890627
                 1928.29                      -31.818286
               1928.5199                      -31.746635
                 1928.75                      -31.675677
                 1928.98                      -31.605415
                 1929.21                      -31.535851
               1929.4399                      -31.466988
                 1929.67                      -31.398828
                  1929.9                      -31.331372
                 1930.13                       -31.26462
               1930.3601                       -31.19857
                 1930.59                      -31.133224
               1930.8199                      -31.068579
               1931.0499                      -31.004636
                 1931.28                       -30.94139
                 1931.51                      -30.878841
                 1931.74                      -30.816986
               1931.9701                      -30.755821
                  1932.2                      -30.695344
               1932.4299                      -30.635553
               1932.6599                      -30.576442
                 1932.89                      -30.518008
                 1933.12                      -30.460246
                 1933.35                      -30.403154
               1933.5801                      -30.346726
               1933.8101                      -30.290958
                 1934.04                      -30.235846
               1934.2699                      -30.181382
                  1934.5                      -30.127566
                 1934.73                       -30.07439
                 1934.96                      -30.021848
               1935.1901                      -29.969937
                 1935.42                      -29.918649
                 1935.65                      -29.867982
               1935.8799                      -29.817928
                 1936.11                      -29.768482
                 1936.34                      -29.719639
               1936.5699                      -29.671393
                  1936.8                      -29.623737
                 1937.03                      -29.576667
                 1937.26                      -29.530176
                 1937.49                       -29.48426
               1937.7201                       -29.43891
                 1937.95                      -29.394124
               1938.1799                      -29.349892
                 1938.41                      -29.306213
                 1938.64                      -29.263076
                 1938.87                      -29.220478
                  1939.1                      -29.178411
               1939.3301                       -29.13687
               1939.5599                      -29.095851
               1939.7899                      -29.055344
                 1940.02                      -29.015347
                 1940.25                      -28.975851
                 1940.48                      -28.936851
                 1940.71                       -28.89834
               1940.9401                      -28.860314
                 1941.17                      -28.822766
                  1941.4                      -28.785689
                 1941.63                      -28.749078
                 1941.86                      -28.712925
                 1942.09                      -28.677227
               1942.3199                      -28.641976
                 1942.55                      -28.607165
                 1942.78                       -28.57279
                 1943.01                      -28.538845
                 1943.24                       -28.50532
                 1943.47                      -28.472213
                  1943.7                      -28.439517
               1943.9299                      -28.407225
                 1944.16                      -28.375331
                 1944.39                      -28.343831
                 1944.62                      -28.312715
               1944.8501                      -28.281979
               1945.0801                      -28.251618
               1945.3099                      -28.221623
               1945.5399                       -28.19199
                 1945.77                      -28.162713
                    1946                      -28.133784
                 1946.23                      -28.105197
               1946.4601                      -28.076948
               1946.6901                      -28.049029
               1946.9199                      -28.021433
               1947.1499                      -27.994155
                 1947.38                       -27.96719
                 1947.61                      -27.940529
                 1947.84                      -27.914168
               1948.0701                      -27.888099
                  1948.3                      -27.862317
                 1948.53                      -27.836814
                 1948.76                      -27.811586
                 1948.99                      -27.786625
                 1949.22                      -27.761925
                 1949.45                      -27.737479
               1949.6801                      -27.713282
                 1949.91                      -27.689327
                 1950.14                      -27.665607
                 1950.37                      -27.642116
                  1950.6                      -27.618848
                 1950.83                      -27.595795
               1951.0599                      -27.572952
                 1951.29                      -27.550312
                 1951.52                       -27.52787
                 1951.75                      -27.505616
                 1951.98                      -27.483546
               1952.2101                      -27.461653
               1952.4401                      -27.439931
               1952.6699                      -27.418372
               1952.8999                       -27.39697
                 1953.13                      -27.375719
                 1953.36                      -27.354611
                 1953.59                      -27.333641
               1953.8201                      -27.312802
                 1954.05                      -27.292086
               1954.2799                      -27.271487
               1954.5099                      -27.250999
                 1954.74                      -27.230615
                 1954.97                      -27.210327
                  1955.2                       -27.19013
               1955.4301                      -27.170018
                 1955.66                      -27.149981
                 1955.89                      -27.130016
               1956.1201                      -27.110113
                 1956.35                      -27.090267
                 1956.58                      -27.070472
               1956.8099                      -27.050719
                 1957.04                      -27.031004
                 1957.27                      -27.011319
                  1957.5                      -26.991656
               1957.7301                       -26.97201
                 1957.96                      -26.952375
               1958.1899                      -26.932742
               1958.4199                      -26.913107
                 1958.65                       -26.89346
                 1958.88                      -26.873798
                 1959.11                      -26.854113
               1959.3401                      -26.834398
               1959.5701                      -26.814646
                  1959.8                      -26.794853
               1960.0299                      -26.775009
                 1960.26                      -26.755111
                 1960.49                       -26.73515
                 1960.72                      -26.715121
                 1960.95                      -26.695019
               1961.1801                      -26.674835
                 1961.41                      -26.654564
               1961.6399                        -26.6342
                 1961.87                      -26.613738
                  1962.1                       -26.59317
                 1962.33                      -26.572491
               1962.5599                      -26.551695
                 1962.79                      -26.530778
                 1963.02                      -26.509731
                 1963.25                       -26.48855
               1963.4801                      -26.467229
                 1963.71                      -26.445764
               1963.9399                      -26.424148
               1964.1699                      -26.402376
                  1964.4                      -26.380442
                 1964.63                      -26.358343
                 1964.86                      -26.336072
               1965.0901                      -26.313626
               1965.3199                      -26.290997
               1965.5499                      -26.268183
               1965.7799                      -26.245179
                 1966.01                       -26.22198
                 1966.24                      -26.198582
                 1966.47                       -26.17498
               1966.7001                       -26.15117
               1966.9301                       -26.12715
                 1967.16                      -26.102913
               1967.3899                      -26.078457
                 1967.62                      -26.053778
                 1967.85                      -26.028872
                 1968.08                      -26.003737
               1968.3101                      -25.978368
                 1968.54                      -25.952764
                 1968.77                       -25.92692
               1968.9999                      -25.900834
                 1969.23                      -25.874503
                 1969.46                      -25.847926
               1969.6899                      -25.821099
                 1969.92                       -25.79402
                 1970.15                      -25.766688
                 1970.38                        -25.7391
                 1970.61                      -25.711255
               1970.8401                       -25.68315
               1971.0699                      -25.654785
               1971.2999                      -25.626158
                 1971.53                      -25.597269
                 1971.76                      -25.568115
                 1971.99                      -25.538696
                 1972.22                      -25.509013
               1972.4501                      -25.479063
               1972.6799                      -25.448846
               1972.9099                      -25.418364
                 1973.14                      -25.387613
                 1973.37                      -25.356597
                  1973.6                      -25.325314
                 1973.83                      -25.293766
               1974.0601                      -25.261951
                 1974.29                      -25.229871
                 1974.52                      -25.197528
                 1974.75                      -25.164921
                 1974.98                      -25.132052
                 1975.21                      -25.098922
               1975.4399                      -25.065532
                 1975.67                      -25.031884
                  1975.9                      -24.997981
                 1976.13                      -24.963822
                 1976.36                       -24.92941
                 1976.59                      -24.894747
               1976.8199                      -24.859836
               1977.0499                      -24.824677
                 1977.28                      -24.789275
                 1977.51                      -24.753631
                 1977.74                      -24.717748
               1977.9701                      -24.681628
               1978.2001                      -24.645274
               1978.4299                       -24.60869
               1978.6599                      -24.571877
                 1978.89                       -24.53484
                 1979.12                      -24.497581
                 1979.35                      -24.460102
               1979.5801                      -24.422409
               1979.8101                      -24.384504
               1980.0399                      -24.346391
               1980.2699                      -24.308072
                  1980.5                      -24.269553
                 1980.73                      -24.230836
                 1980.96                      -24.191925
               1981.1901                      -24.152824
                 1981.42                      -24.113536
                 1981.65                      -24.074066
                 1981.88                      -24.034419
                 1982.11                      -23.994596
                 1982.34                      -23.954603
               1982.5699                      -23.914443
                  1982.8                      -23.874122
                 1983.03                      -23.833643
                 1983.26                      -23.793009
                 1983.49                      -23.752225
                 1983.72                      -23.711297
                 1983.95                      -23.670226
               1984.1799                      -23.629019
                 1984.41                      -23.587679
                 1984.64                       -23.54621
                 1984.87                      -23.504617
                  1985.1                      -23.462905
               1985.3301                      -23.421077
               1985.5601                      -23.379136
               1985.7899                      -23.337089
                 1986.02                      -23.294939
                 1986.25                      -23.252691
                 1986.48                      -23.210347
                 1986.71                      -23.167915
               1986.9401                      -23.125396
                 1987.17                      -23.082795
               1987.3999                      -23.040118
                 1987.63                      -22.997366
                 1987.86                      -22.954547
                 1988.09                      -22.911662
               1988.3199                      -22.868717
                 1988.55                      -22.825714
                 1988.78                      -22.782659
                 1989.01                      -22.739555
               1989.2401                      -22.696407
                 1989.47                      -22.653219
                  1989.7                      -22.609995
               1989.9299                      -22.566736
                 1990.16                       -22.52345
                 1990.39                      -22.480138
                 1990.62                      -22.436805
               1990.8501                      -22.393455
                 1991.08                      -22.350092
               1991.3099                      -22.306717
               1991.5399                      -22.263338
                 1991.77                      -22.219955
                    1992                      -22.176572
                 1992.23                      -22.133195
               1992.4601                      -22.089825
               1992.6901                      -22.046467
                 1992.92                      -22.003122
               1993.1499                      -21.959797
                 1993.38                      -21.916491
                 1993.61                      -21.873211
                 1993.84                      -21.829959
               1994.0701                      -21.786738
                  1994.3                      -21.743551
                 1994.53                        -21.7004
               1994.7599                       -21.65729
                 1994.99                      -21.614223
                 1995.22                      -21.571202
                 1995.45                      -21.528231
               1995.6801                       -21.48531
                 1995.91                      -21.442445
                 1996.14                      -21.399638
                 1996.37                       -21.35689
               1996.6001                      -21.314205
                 1996.83                      -21.271586
               1997.0599                      -21.229034
                 1997.29                      -21.186553
                 1997.52                      -21.144146
                 1997.75                      -21.101813
                 1997.98                      -21.059558
               1998.2101                      -21.017385
               1998.4399                      -20.975293
               1998.6699                      -20.933286
               1998.8999                      -20.891366
                 1999.13                      -20.849536
                 1999.36                      -20.807797
                 1999.59                      -20.766151
               1999.8201                      -20.724601
                 2000.05                      -20.683149
                 2000.28                      -20.641795
               2000.5099                      -20.600545
                 2000.74                      -20.559397
                 2000.97                      -20.518354
                  2001.2                      -20.477419
               2001.4301                      -20.436593
                 2001.66                      -20.395877
                 2001.89                      -20.355274
               2002.1199                      -20.314785
                 2002.35                      -20.274413
                 2002.58                      -20.234157
               2002.8099                       -20.19402
                 2003.04                      -20.154004
                 2003.27                       -20.11411
                  2003.5                      -20.074339
               2003.7301                      -20.034694
               2003.9601                      -19.995175
               2004.1899                      -19.955784
               2004.4199                      -19.916522
                 2004.65                      -19.877389
                 2004.88                       -19.83839
                 2005.11                      -19.799523
               2005.3401                       -19.76079
               2005.5701                      -19.722192
               2005.7999                      -19.683732
               2006.0299                       -19.64541
                 2006.26                      -19.607226
                 2006.49                      -19.569182
                 2006.72                       -19.53128
                 2006.95                       -19.49352
               2007.1801                      -19.455902
                 2007.41                      -19.418429
                 2007.64                      -19.381101
                 2007.87                      -19.343919
                  2008.1                      -19.306884
                 2008.33                      -19.269997
               2008.5599                      -19.233259
                 2008.79                      -19.196671
                 2009.02                      -19.160233
                 2009.25                      -19.123946
                 2009.48                      -19.087811
                 2009.71                       -19.05183
               2009.9399                      -19.016002
               2010.1699                      -18.980329
                  2010.4                      -18.944811
                 2010.63                      -18.909448
                 2010.86                      -18.874242
               2011.0901                      -18.839193
               2011.3201                      -18.804302
               2011.5499                      -18.769569
               2011.7799                      -18.734994
                 2012.01                      -18.700581
                 2012.24                      -18.666327
                 2012.47                      -18.632234
               2012.7001                      -18.598302
               2012.9301                      -18.564532
               2013.1599                      -18.530925
               2013.3899                       -18.49748
                 2013.62                      -18.464199
                 2013.85                      -18.431081
                 2014.08                      -18.398129
               2014.3101                      -18.365341
                 2014.54                      -18.332717
                 2014.77                       -18.30026
                    2015                      -18.267969
                 2015.23                      -18.235844
                 2015.46                      -18.203887
               2015.6899                      -18.172096
                 2015.92                      -18.140473
                 2016.15                      -18.109018
                 2016.38                      -18.077731
                 2016.61                      -18.046614
                 2016.84                      -18.015664
               2017.0699                      -17.984885
               2017.2999                      -17.954275
                 2017.53                      -17.923836
                 2017.76                      -17.893565
                 2017.99                      -17.863466
                 2018.22                      -17.833538
               2018.4501                      -17.803781
               2018.6801                      -17.774195
               2018.9099                      -17.744781
                 2019.14                      -17.715539
                 2019.37                      -17.686468
                  2019.6                      -17.657572
                 2019.83                      -17.628846
               2020.0601                      -17.600294
                 2020.29                      -17.571914
               2020.5199                      -17.543708
                 2020.75                      -17.515676
                 2020.98                      -17.487817
                 2021.21                      -17.460132
               2021.4399                      -17.432621
                 2021.67                      -17.405284
                  2021.9                      -17.378121
                 2022.13                      -17.351134
               2022.3601                      -17.324321
                 2022.59                      -17.297682
               2022.8199                       -17.27122
               2023.0499                      -17.244932
                 2023.28                       -17.21882
                 2023.51                      -17.192882
                 2023.74                      -17.167122
               2023.9701                      -17.141537
                  2024.2                      -17.116126
               2024.4299                      -17.090894
               2024.6599                      -17.065837
                 2024.89                      -17.040956
                 2025.12                      -17.016253
                 2025.35                      -16.991726
               2025.5801                      -16.967375
               2025.8101                      -16.943202
                 2026.04                      -16.919205
               2026.2699                      -16.895386
                  2026.5                      -16.871744
                 2026.73                       -16.84828
                 2026.96                      -16.824992
               2027.1901                      -16.801883
                 2027.42                      -16.778951
                 2027.65                      -16.756196
               2027.8799                      -16.733622
                 2028.11                      -16.711223
                 2028.34                      -16.689004
               2028.5699                      -16.666962
                  2028.8                      -16.645099
                 2029.03                      -16.623415
                 2029.26                      -16.601909
                 2029.49                      -16.580581
               2029.7201                      -16.559433
                 2029.95                      -16.538464
               2030.1799                      -16.517673
                 2030.41                      -16.497061
                 2030.64                      -16.476629
                 2030.87                      -16.456376
                  2031.1                      -16.436303
               2031.3301                       -16.41641
               2031.5599                      -16.396696
               2031.7899                      -16.377161
                 2032.02                      -16.357806
                 2032.25                      -16.338632
                 2032.48                      -16.319638
                 2032.71                      -16.300823
               2032.9401                       -16.28219
                 2033.17                      -16.263736
                  2033.4                      -16.245463
                 2033.63                      -16.227372
                 2033.86                      -16.209459
                 2034.09                      -16.191729
               2034.3199                      -16.174179
                 2034.55                      -16.156811
                 2034.78                      -16.139623
                 2035.01                      -16.122618
                 2035.24                      -16.105793
                 2035.47                      -16.089151
                  2035.7                       -16.07269
               2035.9299                       -16.05641
                 2036.16                      -16.040313
                 2036.39                      -16.024399
                 2036.62                      -16.008665
               2036.8501                      -15.993115
               2037.0801                      -15.977747
               2037.3099                      -15.962562
               2037.5399                       -15.94756
                 2037.77                      -15.932741
                    2038                      -15.918105
                 2038.23                      -15.903651
               2038.4601                      -15.889382
               2038.6901                      -15.875296
               2038.9199                      -15.861394
               2039.1499                      -15.847676
                 2039.38                      -15.834141
                 2039.61                      -15.820792
                 2039.84                      -15.807627
               2040.0701                      -15.794646
                  2040.3                       -15.78185
                 2040.53                      -15.769239
                 2040.76                      -15.756813
                 2040.99                      -15.744572
                 2041.22                      -15.732517
                 2041.45                      -15.720647
               2041.6801                      -15.708964
                 2041.91                      -15.697466
                 2042.14                      -15.686155
                 2042.37                      -15.675031
                  2042.6                      -15.664092
                 2042.83                      -15.653341
               2043.0599                      -15.642777
                 2043.29                      -15.632401
                 2043.52                      -15.622212
                 2043.75                       -15.61221
                 2043.98                      -15.602397
               2044.2101                      -15.592772
               2044.4401                      -15.583335
               2044.6699                      -15.574087
               2044.8999                      -15.565029
                 2045.13                      -15.556159
                 2045.36                      -15.547479
                 2045.59                      -15.538988
               2045.8201                      -15.530688
                 2046.05                      -15.522578
               2046.2799                      -15.514658
               2046.5099                      -15.506929
