        Frequency / MHz                S1,2 (c=0.135)/abs,dB
----------------------------------------------------------------------
                    2110                       -43.72972
                 2110.25                      -43.740218
                  2110.5                      -43.750572
                 2110.75                      -43.760777
                    2111                      -43.770819
                 2111.25                      -43.780688
                  2111.5                      -43.790377
                 2111.75                      -43.799869
                    2112                      -43.809152
                 2112.25                      -43.818223
                  2112.5                      -43.827067
                 2112.75                      -43.835673
                    2113                      -43.844031
                 2113.25                      -43.852134
                  2113.5                      -43.859967
                 2113.75                      -43.867523
                    2114                      -43.874793
                 2114.25                      -43.881768
                  2114.5                      -43.888436
                 2114.75                       -43.89479
                    2115                      -43.900821
                 2115.25                      -43.906517
                  2115.5                      -43.911875
                 2115.75                      -43.916884
                    2116                      -43.921532
                 2116.25                      -43.925817
                  2116.5                      -43.929729
                 2116.75                      -43.933262
                    2117                      -43.936406
                 2117.25                      -43.939159
                  2117.5                      -43.941511
                 2117.75                      -43.943455
                    2118                      -43.944988
                 2118.25                      -43.946101
                  2118.5                      -43.946788
                 2118.75                      -43.947052
                    2119                      -43.946879
                 2119.25                      -43.946269
                  2119.5                      -43.945214
                 2119.75                      -43.943716
                    2120                      -43.941768
                 2120.25                      -43.939364
                  2120.5                      -43.936508
                 2120.75                      -43.933188
                    2121                      -43.929413
                 2121.25                      -43.925172
                  2121.5                      -43.920469
                 2121.75                        -43.9153
                    2122                      -43.909661
                 2122.25                       -43.90356
                  2122.5                      -43.896988
                 2122.75                      -43.889949
                    2123                      -43.882441
                 2123.25                      -43.874469
                  2123.5                      -43.866029
                 2123.75                      -43.857126
                    2124                      -43.847759
                 2124.25                       -43.83793
                  2124.5                      -43.827645
                 2124.75                        -43.8169
                    2125                      -43.805702
                 2125.25                      -43.794055
                  2125.5                      -43.781957
                 2125.75                      -43.769416
                    2126                      -43.756434
                 2126.25                      -43.743017
                  2126.5                      -43.729165
                 2126.75                      -43.714885
                    2127                      -43.700183
                 2127.25                      -43.685061
                  2127.5                      -43.669525
                 2127.75                      -43.653584
                    2128                      -43.637238
                 2128.25                      -43.620496
                  2128.5                      -43.603364
                 2128.75                      -43.585844
                    2129                      -43.567947
                 2129.25                      -43.549674
                  2129.5                      -43.531036
                 2129.75                      -43.512041
                    2130                      -43.492691
                 2130.25                      -43.472992
                  2130.5                      -43.452956
                 2130.75                      -43.432584
                    2131                      -43.411893
                 2131.25                      -43.390877
                  2131.5                      -43.369557
                 2131.75                      -43.347927
                    2132                      -43.325997
                 2132.25                      -43.303783
                  2132.5                      -43.281287
                 2132.75                      -43.258517
                    2133                      -43.235475
                 2133.25                      -43.212181
                  2133.5                      -43.188627
                 2133.75                      -43.164825
                    2134                      -43.140791
                 2134.25                      -43.116526
                  2134.5                       -43.09204
                 2134.75                      -43.067332
                    2135                      -43.042423
                 2135.25                      -43.017309
                  2135.5                      -42.991995
                 2135.75                      -42.966502
                    2136                      -42.940832
                 2136.25                       -42.91498
                  2136.5                      -42.888967
                 2136.75                      -42.862799
                    2137                      -42.836473
                 2137.25                      -42.810008
                  2137.5                      -42.783402
                 2137.75                      -42.756659
                    2138                      -42.729796
                 2138.25                      -42.702814
                  2138.5                      -42.675722
                 2138.75                      -42.648518
                    2139                      -42.621222
                 2139.25                      -42.593825
                  2139.5                       -42.56634
                 2139.75                      -42.538776
                    2140                      -42.511136
                 2140.25                      -42.483424
                  2140.5                      -42.455647
                 2140.75                      -42.427814
                    2141                      -42.399921
                 2141.25                      -42.371984
                  2141.5                      -42.343997
                 2141.75                       -42.31598
                    2142                      -42.287923
                 2142.25                      -42.259843
                  2142.5                      -42.231733
                 2142.75                      -42.203606
                    2143                      -42.175463
                 2143.25                       -42.14731
                  2143.5                      -42.119149
                 2143.75                      -42.090989
                    2144                      -42.062829
                 2144.25                      -42.034676
                  2144.5                      -42.006532
                 2144.75                      -41.978399
                    2145                      -41.950286
                 2145.25                        -41.9222
                  2145.5                       -41.89413
                 2145.75                      -41.866089
                    2146                       -41.83808
                 2146.25                      -41.810103
                  2146.5                      -41.782166
                 2146.75                      -41.754271
                    2147                      -41.726415
                 2147.25                      -41.698603
                  2147.5                      -41.670843
                 2147.75                      -41.643134
                    2148                      -41.615479
                 2148.25                      -41.587875
                  2148.5                      -41.560333
                 2148.75                      -41.532853
                    2149                      -41.505432
                 2149.25                      -41.478076
                  2149.5                      -41.450787
                 2149.75                      -41.423566
                    2150                      -41.396442
                 2150.25                      -41.369338
                  2150.5                      -41.342332
                 2150.75                      -41.315406
                    2151                      -41.288552
                 2151.25                      -41.261773
                  2151.5                      -41.235075
                 2151.75                      -41.208461
                    2152                      -41.181926
                 2152.25                      -41.155476
                  2152.5                      -41.129105
                 2152.75                      -41.102823
                    2153                      -41.076627
                 2153.25                      -41.050516
                  2153.5                      -41.024492
                 2153.75                      -40.998556
                    2154                      -40.972682
                 2154.25                      -40.946948
                  2154.5                      -40.921284
                 2154.75                      -40.895702
                    2155                      -40.870215
                 2155.25                      -40.844819
                  2155.5                      -40.819513
                 2155.75                      -40.794295
                    2156                      -40.769171
                 2156.25                       -40.74414
                  2156.5                        -40.7192
                 2156.75                      -40.694355
                    2157                      -40.669597
                 2157.25                      -40.644932
                  2157.5                      -40.620359
                 2157.75                      -40.595878
                    2158                      -40.571511
                 2158.25                      -40.547188
                  2158.5                      -40.522978
                 2158.75                       -40.49886
                    2159                      -40.474829
                 2159.25                       -40.45089
                  2159.5                       -40.42704
                 2159.75                      -40.403277
                    2160                      -40.379601
                 2160.25                      -40.356014
                  2160.5                       -40.33251
                 2160.75                      -40.309097
                    2161                      -40.285768
                 2161.25                      -40.262521
                  2161.5                       -40.23936
                 2161.75                      -40.216281
                    2162                      -40.193263
                 2162.25                      -40.170367
                  2162.5                      -40.147533
                 2162.75                      -40.124778
                    2163                      -40.102098
                 2163.25                      -40.079497
                  2163.5                      -40.056976
                 2163.75                      -40.034524
                    2164                       -40.01215
                 2164.25                      -39.989851
                  2164.5                       -39.96762
                 2164.75                      -39.945463
                    2165                      -39.923373
                 2165.25                      -39.901353
                  2165.5                      -39.879401
                 2165.75                      -39.857514
                    2166                      -39.835714
                 2166.25                      -39.813934
                  2166.5                      -39.792239
                 2166.75                      -39.770603
                    2167                       -39.74903
                 2167.25                      -39.727509
                  2167.5                       -39.70605
                 2167.75                      -39.684645
                    2168                      -39.663293
                 2168.25                      -39.641994
                  2168.5                      -39.620748
                 2168.75                      -39.599551
                    2169                        -39.5784
                 2169.25                      -39.557297
                  2169.5                      -39.536238
                 2169.75                      -39.515224
                    2170                      -39.494234
                 2170.25                      -39.473322
                  2170.5                      -39.452429
                 2170.75                      -39.431574
                    2171                      -39.410756
                 2171.25                      -39.389972
                  2171.5                      -39.369219
                 2171.75                      -39.348498
                    2172                      -39.327809
                 2172.25                      -39.307146
                  2172.5                      -39.286508
                 2172.75                      -39.265896
                    2173                      -39.245308
                 2173.25                      -39.224739
                  2173.5                      -39.204192
                 2173.75                      -39.183661
                    2174                      -39.163168
                 2174.25                      -39.142649
                  2174.5                      -39.122166
                 2174.75                      -39.101691
                    2175                      -39.081228
                 2175.25                      -39.060771
                  2175.5                      -39.040323
                 2175.75                      -39.019878
                    2176                      -38.999437
                 2176.25                      -38.978999
                  2176.5                      -38.958558
                 2176.75                      -38.938116
                    2177                      -38.917672
                 2177.25                      -38.897223
                  2177.5                      -38.876764
                 2177.75                      -38.856301
                    2178                      -38.835806
                 2178.25                       -38.81534
                  2178.5                      -38.794839
                 2178.75                      -38.774324
                    2179                      -38.753794
                 2179.25                      -38.733243
                  2179.5                      -38.712675
                 2179.75                      -38.692086
                    2180                      -38.671475
                 2180.25                      -38.650834
                  2180.5                      -38.630169
                 2180.75                      -38.609479
                    2181                      -38.588762
                 2181.25                      -38.568009
                  2181.5                      -38.547227
                 2181.75                      -38.526411
                    2182                      -38.505577
                 2182.25                       -38.48467
                  2182.5                      -38.463745
                 2182.75                      -38.442778
                    2183                      -38.421772
                 2183.25                      -38.400721
                  2183.5                      -38.379626
                 2183.75                      -38.358488
                    2184                      -38.337303
                 2184.25                       -38.31607
                  2184.5                      -38.294786
                 2184.75                      -38.273454
                    2185                       -38.25207
                 2185.25                      -38.230631
                  2185.5                      -38.209138
                 2185.75                      -38.187589
                    2186                      -38.165961
                 2186.25                      -38.144319
                  2186.5                      -38.122594
                 2186.75                       -38.10081
                    2187                      -38.078962
                 2187.25                      -38.057053
                  2187.5                      -38.035079
                 2187.75                      -38.013042
                    2188                      -37.990937
                 2188.25                      -37.968765
                  2188.5                      -37.946521
                 2188.75                      -37.924213
                    2189                      -37.901832
                 2189.25                      -37.879379
                  2189.5                      -37.856857
                 2189.75                      -37.834258
                    2190                      -37.811609
                 2190.25                       -37.78884
                  2190.5                      -37.766019
                 2190.75                      -37.743118
                    2191                      -37.720143
                 2191.25                      -37.697089
                  2191.5                      -37.673955
                 2191.75                       -37.65074
                    2192                      -37.627448
                 2192.25                      -37.604073
                  2192.5                      -37.580616
                 2192.75                       -37.55708
                    2193                      -37.533455
                 2193.25                      -37.509751
                  2193.5                      -37.485959
                 2193.75                      -37.462084
                    2194                      -37.438102
                 2194.25                      -37.414082
                  2194.5                      -37.389953
                 2194.75                      -37.365733
                    2195                      -37.341427
                 2195.25                      -37.317037
                  2195.5                      -37.292557
                 2195.75                       -37.26799
                    2196                      -37.243333
                 2196.25                      -37.218591
                  2196.5                      -37.193758
                 2196.75                      -37.168835
                    2197                      -37.143824
                 2197.25                      -37.118722
                  2197.5                      -37.093533
                 2197.75                      -37.068255
                    2198                       -37.04291
                 2198.25                      -37.017426
                  2198.5                      -36.991875
                 2198.75                      -36.966239
                    2199                      -36.940506
                 2199.25                       -36.91469
                  2199.5                       -36.88878
                 2199.75                       -36.86278
                    2200                      -36.836694
                 2200.25                      -36.810515
                  2200.5                      -36.784249
                 2200.75                      -36.757891
                    2201                      -36.731442
                 2201.25                      -36.704913
                  2201.5                      -36.678287
                 2201.75                      -36.651574
                    2202                      -36.624748
                 2202.25                      -36.597888
                  2202.5                      -36.570906
                 2202.75                      -36.543844
                    2203                      -36.516698
                 2203.25                       -36.48946
                  2203.5                      -36.462133
                 2203.75                      -36.434726
                    2204                       -36.40723
                 2204.25                      -36.379651
                  2204.5                      -36.351986
                 2204.75                      -36.324236
                    2205                      -36.296402
                 2205.25                      -36.268486
                  2205.5                      -36.240489
                 2205.75                      -36.212409
                    2206                      -36.184271
                 2206.25                      -36.155999
                  2206.5                      -36.127678
                 2206.75                      -36.099273
                    2207                       -36.07079
                 2207.25                      -36.042226
                  2207.5                      -36.013585
                 2207.75                       -35.98487
                    2208                      -35.956075
                 2208.25                      -35.927203
                  2208.5                      -35.898257
                 2208.75                      -35.869236
                    2209                      -35.840139
                 2209.25                      -35.810971
                  2209.5                      -35.781726
                 2209.75                      -35.752415
                    2210                      -35.722998
                 2210.25                      -35.693573
                  2210.5                       -35.66404
                 2210.75                       -35.63445
                    2211                      -35.604781
                 2211.25                      -35.575054
                  2211.5                      -35.545253
                 2211.75                      -35.515384
                    2212                      -35.485457
                 2212.25                      -35.455463
                  2212.5                      -35.425404
                 2212.75                      -35.395283
                    2213                      -35.365096
                 2213.25                      -35.334852
                  2213.5                      -35.304541
                 2213.75                      -35.274179
                    2214                       -35.24378
                 2214.25                      -35.213267
                  2214.5                      -35.182726
                 2214.75                      -35.152128
                    2215                      -35.121474
                 2215.25                      -35.090763
                  2215.5                      -35.059999
                 2215.75                      -35.029181
                    2216                      -34.998307
                 2216.25                      -34.967391
                  2216.5                      -34.936417
                 2216.75                      -34.905395
                    2217                       -34.87432
                 2217.25                      -34.843198
                  2217.5                      -34.812029
                 2217.75                       -34.78081
                    2218                      -34.749517
                 2218.25                      -34.718239
                  2218.5                      -34.686888
                 2218.75                      -34.655485
                    2219                      -34.624045
                 2219.25                      -34.592562
                  2219.5                      -34.561036
                 2219.75                      -34.529473
                    2220                      -34.497859
                 2220.25                      -34.466216
                  2220.5                      -34.434528
                 2220.75                      -34.402805
                    2221                      -34.371049
                 2221.25                      -34.339246
                  2221.5                       -34.30741
                 2221.75                       -34.27554
                    2222                      -34.243671
                 2222.25                      -34.211704
                  2222.5                      -34.179733
                 2222.75                       -34.14773
                    2223                      -34.115697
                 2223.25                      -34.083625
                  2223.5                      -34.051533
                 2223.75                      -34.019407
                    2224                      -33.987248
                 2224.25                      -33.955063
                  2224.5                      -33.922847
                 2224.75                      -33.890607
                    2225                      -33.858342
                 2225.25                      -33.826046
                  2225.5                      -33.793727
                 2225.75                      -33.761383
                    2226                      -33.728982
                 2226.25                      -33.696619
                  2226.5                      -33.664203
                 2226.75                      -33.631763
                    2227                      -33.599299
                 2227.25                      -33.566813
                  2227.5                      -33.534307
                 2227.75                      -33.501779
                    2228                       -33.46923
                 2228.25                      -33.436661
                  2228.5                      -33.404072
                 2228.75                      -33.371466
                    2229                      -33.338841
                 2229.25                      -33.306193
                  2229.5                      -33.273531
                 2229.75                      -33.240851
                    2230                      -33.208184
                 2230.25                      -33.175437
                  2230.5                      -33.142704
                 2230.75                      -33.109957
                    2231                      -33.077193
                 2231.25                      -33.044413
                  2231.5                      -33.011617
                 2231.75                      -32.978808
                    2232                      -32.945983
                 2232.25                      -32.913145
                  2232.5                      -32.880289
                 2232.75                      -32.847423
                    2233                      -32.814541
                 2233.25                      -32.781646
                  2233.5                      -32.748738
                 2233.75                      -32.715817
                    2234                       -32.68285
                 2234.25                      -32.649936
                  2234.5                      -32.616976
                 2234.75                      -32.584003
                    2235                      -32.551017
                 2235.25                      -32.518022
                  2235.5                      -32.485012
                 2235.75                      -32.451992
                    2236                       -32.41896
                 2236.25                      -32.385914
                  2236.5                      -32.352858
                 2236.75                      -32.319789
                    2237                      -32.286712
                 2237.25                      -32.253618
                  2237.5                      -32.220517
                 2237.75                        -32.1874
                    2238                      -32.154305
                 2238.25                      -32.121135
                  2238.5                      -32.087987
                 2238.75                      -32.054824
                    2239                       -32.02165
                 2239.25                      -31.988467
                  2239.5                       -31.95527
                 2239.75                      -31.922061
                    2240                       -31.88884
                 2240.25                      -31.855606
                  2240.5                      -31.822364
                 2240.75                      -31.789106
                    2241                      -31.755835
                 2241.25                      -31.722551
                  2241.5                      -31.689255
                 2241.75                      -31.655946
                    2242                      -31.622592
                 2242.25                      -31.589289
                  2242.5                      -31.555939
                 2242.75                      -31.522577
                    2243                      -31.489204
                 2243.25                      -31.455811
                  2243.5                      -31.422406
                 2243.75                      -31.388984
                    2244                      -31.355548
                 2244.25                      -31.322099
                  2244.5                      -31.288632
                 2244.75                      -31.255149
                    2245                      -31.221653
                 2245.25                      -31.188137
                  2245.5                      -31.154605
                 2245.75                       -31.12106
                    2246                      -31.087525
                 2246.25                      -31.053911
                  2246.5                      -31.020308
                 2246.75                      -30.986688
                    2247                      -30.953052
                 2247.25                      -30.919393
                  2247.5                      -30.885714
                 2247.75                      -30.852017
                    2248                      -30.818302
                 2248.25                      -30.784563
                  2248.5                      -30.750803
                 2248.75                      -30.717022
                    2249                      -30.683219
                 2249.25                      -30.649396
                  2249.5                      -30.615548
                 2249.75                      -30.581677
                    2250                      -30.547748
                 2250.25                      -30.513863
                  2250.5                       -30.47992
                 2250.75                      -30.445951
                    2251                      -30.411958
                 2251.25                      -30.377937
                  2251.5                      -30.343892
                 2251.75                      -30.309818
                    2252                      -30.275717
                 2252.25                      -30.241591
                  2252.5                      -30.207434
                 2252.75                      -30.173248
                    2253                      -30.139033
                 2253.25                      -30.104788
                  2253.5                      -30.070512
                 2253.75                      -30.036206
                    2254                      -30.001903
                 2254.25                        -29.9675
                  2254.5                      -29.933099
                 2254.75                      -29.898663
                    2255                      -29.864195
                 2255.25                      -29.829692
                  2255.5                      -29.795158
                 2255.75                      -29.760584
                    2256                      -29.725978
                 2256.25                      -29.691335
                  2256.5                      -29.656654
                 2256.75                      -29.621937
                    2257                      -29.587184
                 2257.25                      -29.552389
                  2257.5                       -29.51756
                 2257.75                      -29.482687
                    2258                      -29.447743
                 2258.25                      -29.412827
                  2258.5                      -29.377836
                 2258.75                      -29.342802
                    2259                      -29.307728
                 2259.25                       -29.27261
                  2259.5                       -29.23745
                 2259.75                      -29.202246
                    2260                         -29.167
                 2260.25                      -29.131708
                  2260.5                      -29.096372
                 2260.75                      -29.060989
                    2261                      -29.025561
                 2261.25                       -28.99009
                  2261.5                      -28.954566
                 2261.75                      -28.918998
                    2262                      -28.883417
                 2262.25                      -28.847717
                  2262.5                      -28.812006
                 2262.75                      -28.776243
                    2263                      -28.740432
                 2263.25                      -28.704569
                  2263.5                      -28.668655
                 2263.75                      -28.632691
                    2264                      -28.596677
                 2264.25                      -28.560611
                  2264.5                      -28.524492
                 2264.75                      -28.488318
                    2265                      -28.452094
                 2265.25                      -28.415816
                  2265.5                      -28.379483
                 2265.75                      -28.343098
                    2266                      -28.306621
                 2266.25                       -28.27016
                  2266.5                      -28.233609
                 2266.75                      -28.197003
                    2267                       -28.16034
                 2267.25                      -28.123621
                  2267.5                      -28.086845
                 2267.75                      -28.050013
                    2268                      -28.013124
                 2268.25                      -27.976178
                  2268.5                      -27.939174
                 2268.75                      -27.902112
                    2269                      -27.864991
                 2269.25                      -27.827811
                  2269.5                      -27.790574
                 2269.75                      -27.753279
                    2270                       -27.71596
                 2270.25                      -27.678511
                  2270.5                      -27.641035
                 2270.75                      -27.603503
                    2271                       -27.56591
                 2271.25                      -27.528258
                  2271.5                      -27.490547
                 2271.75                      -27.452775
                    2272                      -27.414944
                 2272.25                      -27.377055
                  2272.5                      -27.339103
                 2272.75                      -27.301089
                    2273                      -27.263016
                 2273.25                      -27.224886
                  2273.5                      -27.186693
                 2273.75                      -27.148442
                    2274                      -27.110095
                 2274.25                      -27.071757
                  2274.5                      -27.033326
                 2274.75                      -26.994836
                    2275                      -26.956282
                 2275.25                       -26.91767
                  2275.5                      -26.879003
                 2275.75                      -26.840271
                    2276                      -26.801483
                 2276.25                      -26.762638
                  2276.5                       -26.72373
                 2276.75                      -26.684768
                    2277                      -26.645742
                 2277.25                      -26.606662
                  2277.5                      -26.567526
                 2277.75                      -26.528328
                    2278                      -26.489116
                 2278.25                      -26.449769
                  2278.5                      -26.410402
                 2278.75                       -26.37098
                    2279                      -26.331507
                 2279.25                      -26.291972
                  2279.5                      -26.252384
                 2279.75                      -26.212748
                    2280                      -26.173051
                 2280.25                      -26.133305
                  2280.5                      -26.093504
                 2280.75                      -26.053651
                    2281                      -26.013747
                 2281.25                      -25.973792
                  2281.5                      -25.933786
                 2281.75                      -25.893728
                    2282                      -25.853584
                 2282.25                      -25.813469
                  2282.5                      -25.773268
                 2282.75                       -25.73302
                    2283                      -25.692722
                 2283.25                       -25.65238
                  2283.5                      -25.611991
                 2283.75                      -25.571561
                    2284                      -25.531089
                 2284.25                      -25.490571
                  2284.5                      -25.450007
                 2284.75                      -25.409407
                    2285                      -25.368765
                 2285.25                      -25.328084
                  2285.5                      -25.287365
                 2285.75                      -25.246608
                    2286                      -25.205852
                 2286.25                      -25.164983
                  2286.5                      -25.124118
                 2286.75                      -25.083221
                    2287                      -25.042289
                 2287.25                      -25.001324
                  2287.5                      -24.960329
                 2287.75                      -24.919305
                    2288                      -24.878253
                 2288.25                      -24.837172
                  2288.5                      -24.796064
                 2288.75                      -24.754933
                    2289                      -24.713777
                 2289.25                      -24.672597
                  2289.5                      -24.631395
                 2289.75                      -24.590172
                    2290                      -24.548892
                 2290.25                      -24.507672
                  2290.5                      -24.466397
                 2290.75                      -24.425103
                    2291                      -24.383794
                 2291.25                      -24.342477
                  2291.5                      -24.301147
                 2291.75                      -24.259802
                    2292                      -24.218451
                 2292.25                      -24.177092
                  2292.5                      -24.135724
                 2292.75                      -24.094356
                    2293                      -24.052983
                 2293.25                      -24.011606
                  2293.5                      -23.970227
                 2293.75                      -23.928853
                    2294                      -23.887518
                 2294.25                      -23.846109
                  2294.5                      -23.804744
                 2294.75                      -23.763387
                    2295                      -23.722037
                 2295.25                      -23.680698
                  2295.5                       -23.63937
                 2295.75                      -23.598055
                    2296                      -23.556754
                 2296.25                      -23.515471
                  2296.5                      -23.474204
                 2296.75                      -23.432958
                    2297                      -23.391732
                 2297.25                       -23.35053
                  2297.5                      -23.309351
                 2297.75                      -23.268199
                    2298                      -23.227036
                 2298.25                      -23.185979
                  2298.5                      -23.144916
                 2298.75                      -23.103887
                    2299                       -23.06289
                 2299.25                      -23.021932
                  2299.5                      -22.981011
                 2299.75                      -22.940129
                    2300                       -22.89929
                 2300.25                      -22.858496
                  2300.5                      -22.817746
                 2300.75                      -22.777044
                    2301                       -22.73639
                 2301.25                      -22.695787
                  2301.5                      -22.655237
                 2301.75                      -22.614743
                    2302                      -22.574343
                 2302.25                      -22.533924
                  2302.5                      -22.493603
                 2302.75                      -22.453346
                    2303                      -22.413151
                 2303.25                      -22.373023
                  2303.5                      -22.332964
                 2303.75                      -22.292973
                    2304                      -22.253054
                 2304.25                      -22.213209
                  2304.5                       -22.17344
                 2304.75                      -22.133747
                    2305                      -22.094135
                 2305.25                      -22.054604
                  2305.5                      -22.015155
                 2305.75                      -21.975793
                    2306                      -21.936479
                 2306.25                       -21.89733
                  2306.5                      -21.858235
                 2306.75                      -21.819233
