        Frequency / MHz                S2,1/abs,dB
----------------------------------------------------------------------
                    2110                      -38.694296
                 2110.25                      -38.668042
                  2110.5                      -38.642814
                 2110.75                      -38.618601
                    2111                       -38.59539
                 2111.25                      -38.573172
                  2111.5                      -38.551938
                 2111.75                      -38.531675
                    2112                      -38.512375
                 2112.25                      -38.494026
                  2112.5                       -38.47662
                 2112.75                      -38.460147
                    2113                      -38.444596
                 2113.25                      -38.429959
                  2113.5                      -38.416226
                 2113.75                      -38.403387
                    2114                      -38.391433
                 2114.25                      -38.380356
                  2114.5                      -38.370147
                 2114.75                      -38.360796
                    2115                      -38.352297
                 2115.25                      -38.344638
                  2115.5                      -38.337813
                 2115.75                      -38.331812
                    2116                      -38.326628
                 2116.25                      -38.322254
                  2116.5                      -38.318679
                 2116.75                      -38.315896
                    2117                      -38.313898
                 2117.25                      -38.312677
                  2117.5                      -38.312225
                 2117.75                      -38.312535
                    2118                      -38.313597
                 2118.25                      -38.315406
                  2118.5                      -38.317954
                 2118.75                      -38.321233
                    2119                      -38.325236
                 2119.25                      -38.329956
                  2119.5                      -38.335384
                 2119.75                      -38.341515
                    2120                       -38.34834
                 2120.25                      -38.355852
                  2120.5                      -38.364044
                 2120.75                       -38.37291
                    2121                      -38.382441
                 2121.25                       -38.39263
                  2121.5                      -38.403471
                 2121.75                      -38.414956
                    2122                      -38.427076
                 2122.25                      -38.439827
                  2122.5                      -38.453199
                 2122.75                      -38.467187
                    2123                       -38.48178
                 2123.25                      -38.496973
                  2123.5                      -38.512759
                 2123.75                      -38.529129
                    2124                      -38.546075
                 2124.25                       -38.56359
                  2124.5                      -38.581667
                 2124.75                      -38.600296
                    2125                      -38.619471
                 2125.25                      -38.639181
                  2125.5                      -38.659421
                 2125.75                       -38.68018
                    2126                       -38.70145
                 2126.25                      -38.723224
                  2126.5                      -38.745491
                 2126.75                      -38.768242
                    2127                      -38.791469
                 2127.25                      -38.815162
                  2127.5                      -38.839311
                 2127.75                      -38.863907
                    2128                       -38.88894
                 2128.25                      -38.914399
                  2128.5                      -38.940274
                 2128.75                      -38.966554
                    2129                      -38.993229
                 2129.25                      -39.020288
                  2129.5                      -39.047717
                 2129.75                      -39.075507
                    2130                      -39.103645
                 2130.25                      -39.132119
                  2130.5                      -39.160915
                 2130.75                      -39.190023
                    2131                      -39.219427
                 2131.25                      -39.249115
                  2131.5                      -39.279072
                 2131.75                      -39.309286
                    2132                       -39.33974
                 2132.25                       -39.37042
                  2132.5                      -39.401312
                 2132.75                      -39.432398
                    2133                      -39.463662
                 2133.25                       -39.49509
                  2133.5                      -39.526663
                 2133.75                      -39.558364
                    2134                      -39.590176
                 2134.25                      -39.622082
                  2134.5                      -39.654061
                 2134.75                      -39.686094
                    2135                      -39.718163
                 2135.25                      -39.750249
                  2135.5                       -39.78233
                 2135.75                      -39.814386
                    2136                      -39.846397
                 2136.25                      -39.878339
                  2136.5                      -39.910192
                 2136.75                      -39.941932
                    2137                      -39.973539
                 2137.25                      -40.004988
                  2137.5                      -40.036253
                 2137.75                      -40.067314
                    2138                      -40.098145
                 2138.25                      -40.128721
                  2138.5                      -40.159018
